"","AIS","Time","Plegia","n","mean_LEMS","sd_LEMS"
"1","AIS A",0,"para",128,0.0731707317073171,0.726215563302139
"2","AIS A",0,"tetra",297,0,0
"3","AIS A",1,"para",132,0,0
"4","AIS A",1,"tetra",314,0.0947712418300654,0.802152092987986
"5","AIS A",4,"para",125,0.271186440677966,2.76628362176655
"6","AIS A",4,"tetra",290,0.63768115942029,3.50156750142874
"7","AIS A",8,"para",126,0.422764227642276,3.7130874654286
"8","AIS A",8,"tetra",281,1.0625,4.66356589569276
"9","AIS A",16,"para",121,0.416666666666667,3.07219389852595
"10","AIS A",16,"tetra",267,1.96108949416342,7.04383897873636
"11","AIS A",26,"para",124,0.623931623931624,4.40948526147286
"12","AIS A",26,"tetra",277,2.07251908396947,7.18705257142212
"13","AIS A",52,"para",123,0.717948717948718,4.75946634549496
"14","AIS A",52,"tetra",263,2.61943319838057,8.27628277598096
"15","AIS B",0,"para",8,0,0
"16","AIS B",0,"tetra",69,0.544117647058823,2.38423819010321
"17","AIS B",1,"para",8,0,0
"18","AIS B",1,"tetra",69,0,0
"19","AIS B",4,"para",8,4.14285714285714,5.95618925792242
"20","AIS B",4,"tetra",63,5.62068965517241,11.241882195856
"21","AIS B",8,"para",8,10.5714285714286,10.8144524111201
"22","AIS B",8,"tetra",60,9.18181818181818,14.7661912502989
"23","AIS B",16,"para",6,24.1666666666667,7.35980072193987
"24","AIS B",16,"tetra",60,13.4821428571429,17.1697313701955
"25","AIS B",26,"para",7,25.8571428571429,10.9609697172676
"26","AIS B",26,"tetra",62,16.0178571428571,18.0227039353937
"27","AIS B",52,"para",7,28,14.8548533034381
"28","AIS B",52,"tetra",56,17.5,19.3071154210657
"29","AIS C",0,"para",13,2.27272727272727,5.17862740677313
"30","AIS C",0,"tetra",130,6.40350877192982,11.4309928789689
"31","AIS C",1,"para",13,4.15384615384615,7.43691416568003
"32","AIS C",1,"tetra",136,8.4251968503937,8.66256284252096
"33","AIS C",4,"para",11,17.5,18.4947439981081
"34","AIS C",4,"tetra",127,19.2347826086957,14.5193944310811
"35","AIS C",8,"para",11,22.8,19.825908974538
"36","AIS C",8,"tetra",121,27.2592592592593,16.2195050285577
"37","AIS C",16,"para",10,26.6,20.5923394602081
"38","AIS C",16,"tetra",113,32.7821782178218,16.1830800284717
"39","AIS C",26,"para",12,27.2727272727273,21.8682002418622
"40","AIS C",26,"tetra",121,35.9532710280374,16.4811975073084
"41","AIS C",52,"para",12,25.75,22.503030098997
"42","AIS C",52,"tetra",110,37.921568627451,15.0528351821176
"43","AIS D",0,"para",3,13.6666666666667,12.6622799421484
"44","AIS D",0,"tetra",28,17.952380952381,14.1791261736265
"45","AIS D",1,"para",3,22.6666666666667,8.50490054811538
"46","AIS D",1,"tetra",28,27.8,7.70281333886089
"47","AIS D",4,"para",3,41,7.81024967590665
"48","AIS D",4,"tetra",24,39.4347826086956,7.37209780774486
"49","AIS D",8,"para",3,45.6666666666667,4.93288286231625
"50","AIS D",8,"tetra",26,43.56,7.5833150182929
"51","AIS D",16,"para",3,48,1
"52","AIS D",16,"tetra",26,45.3333333333333,4.70460767050063
"53","AIS D",26,"para",3,49,1.73205080756888
"54","AIS D",26,"tetra",26,45.7692307692308,4.90964513835933
"55","AIS D",52,"para",3,47.6666666666667,3.21455025366432
"56","AIS D",52,"tetra",25,46.3478260869565,5.32241141223663
