"","AIS","Time","Plegia","n","mean_tss","sd_tss"
"1","AIS A",0,"para",128,NA,NA
"2","AIS A",0,"tetra",297,NA,NA
"3","AIS A",1,"para",132,75.4503816793893,15.4358293193556
"4","AIS A",1,"tetra",314,29.812101910828,14.5393499347915
"5","AIS A",4,"para",125,78.5655737704918,16.5733968372786
"6","AIS A",4,"tetra",290,39.0688405797101,25.9439740440109
"7","AIS A",8,"para",126,79.8211382113821,17.0130290092889
"8","AIS A",8,"tetra",281,44.0740740740741,29.1888173396878
"9","AIS A",16,"para",121,80.9833333333333,18.0013927254538
"10","AIS A",16,"tetra",267,48.4076923076923,34.2142231829552
"11","AIS A",26,"para",124,82.2796610169491,18.161613314205
"12","AIS A",26,"tetra",277,50.6576923076923,34.6490699544454
"13","AIS A",52,"para",123,82.8983050847458,20.2203205865801
"14","AIS A",52,"tetra",263,53.1666666666667,36.6575082127322
"15","AIS B",0,"para",8,NA,NA
"16","AIS B",0,"tetra",69,NA,NA
"17","AIS B",1,"para",8,104.75,29.9177443763969
"18","AIS B",1,"tetra",69,69.6376811594203,33.1316318619838
"19","AIS B",4,"para",8,108.714285714286,26.6440380180025
"20","AIS B",4,"tetra",63,99.6,37.9701934841046
"21","AIS B",8,"para",8,130.714285714286,27.1705372644358
"22","AIS B",8,"tetra",60,105.912280701754,37.8499295629437
"23","AIS B",16,"para",6,138.166666666667,25.2936092060162
"24","AIS B",16,"tetra",60,112.465517241379,42.495909201364
"25","AIS B",26,"para",7,143.142857142857,20.5055160987523
"26","AIS B",26,"tetra",62,110.5,42.3859667276635
"27","AIS B",52,"para",7,149.285714285714,17.4328644205352
"28","AIS B",52,"tetra",56,112.87037037037,40.1563201615492
"29","AIS C",0,"para",13,NA,NA
"30","AIS C",0,"tetra",130,NA,NA
"31","AIS C",1,"para",13,115.384615384615,12.0314758137317
"32","AIS C",1,"tetra",136,91.3111111111111,43.8929271606072
"33","AIS C",4,"para",11,128.8,31.5446773111831
"34","AIS C",4,"tetra",127,117.352459016393,40.6612537421897
"35","AIS C",8,"para",11,135.5,30.3763431344562
"36","AIS C",8,"tetra",121,127.410256410256,39.8590520688869
"37","AIS C",16,"para",10,137.3,28.94458306642
"38","AIS C",16,"tetra",113,129.839622641509,38.7205216396515
"39","AIS C",26,"para",12,138.8,29.1234918541335
"40","AIS C",26,"tetra",121,133.2,36.9169163879695
"41","AIS C",52,"para",12,139.5,22.8413500635858
"42","AIS C",52,"tetra",110,133.698113207547,39.3059234143371
"43","AIS D",0,"para",3,NA,NA
"44","AIS D",0,"tetra",28,NA,NA
"45","AIS D",1,"para",3,142.333333333333,22.8983259941275
"46","AIS D",1,"tetra",28,126.285714285714,34.6568972803471
"47","AIS D",4,"para",3,167.333333333333,0.577350269189626
"48","AIS D",4,"tetra",24,142.333333333333,24.3429601763
"49","AIS D",8,"para",3,167.333333333333,1.15470053837925
"50","AIS D",8,"tetra",26,145.730769230769,23.521152509701
"51","AIS D",16,"para",3,168,0
"52","AIS D",16,"tetra",26,144.181818181818,21.5509062092887
"53","AIS D",26,"para",3,167.333333333333,1.15470053837925
"54","AIS D",26,"tetra",26,148.692307692308,19.0908757908467
"55","AIS D",52,"para",3,167,1.73205080756888
"56","AIS D",52,"tetra",25,151.347826086957,20.2385965549451
