"","AIS","Time","Plegia","n","mean_uems","sd_uems"
"1","AIS A",0,"para",128,48.5,5.09139765654652
"2","AIS A",0,"tetra",297,10.8722466960352,11.9125306143568
"3","AIS A",1,"para",132,47.9130434782609,5.34193147504327
"4","AIS A",1,"tetra",314,12.0986394557823,11.0407466631475
"5","AIS A",4,"para",125,48.3853211009174,5.79576514758315
"6","AIS A",4,"tetra",290,14.0149812734082,11.9087918610526
"7","AIS A",8,"para",126,48.7435897435897,4.79790515737902
"8","AIS A",8,"tetra",281,15.8707224334601,12.6300267088767
"9","AIS A",16,"para",121,48.8050847457627,4.99103208513109
"10","AIS A",16,"tetra",267,18.0235294117647,12.8663417984188
"11","AIS A",26,"para",124,49.4188034188034,3.52390681566716
"12","AIS A",26,"tetra",277,19.81640625,13.0996738611924
"13","AIS A",52,"para",123,49.5,3.08854827302126
"14","AIS A",52,"tetra",263,21.764,12.993831715495
"15","AIS B",0,"para",8,49.75,0.707106781186548
"16","AIS B",0,"tetra",69,14.468085106383,13.2350835871111
"17","AIS B",1,"para",8,48.7142857142857,2.98408476836063
"18","AIS B",1,"tetra",69,15.7846153846154,11.5006688768691
"19","AIS B",4,"para",8,45.1428571428571,12.8507920823137
"20","AIS B",4,"tetra",63,18.5,12.9130017437886
"21","AIS B",8,"para",8,50,0
"22","AIS B",8,"tetra",60,22.2037037037037,12.7684452291941
"23","AIS B",16,"para",6,50,0
"24","AIS B",16,"tetra",60,26.5185185185185,13.3356392136073
"25","AIS B",26,"para",7,50,0
"26","AIS B",26,"tetra",62,27.0535714285714,13.4156213461731
"27","AIS B",52,"para",7,50,0
"28","AIS B",52,"tetra",56,30.5294117647059,14.0076449714811
"29","AIS C",0,"para",13,50,0
"30","AIS C",0,"tetra",130,15.2888888888889,14.1669376488734
"31","AIS C",1,"para",13,48.0909090909091,4.25334093283258
"32","AIS C",1,"tetra",136,14.7619047619048,11.2913620587977
"33","AIS C",4,"para",11,48.5555555555556,3.97212509593766
"34","AIS C",4,"tetra",127,21.3109243697479,11.8219473424985
"35","AIS C",8,"para",11,48.4,2.67498701969852
"36","AIS C",8,"tetra",121,28.5964912280702,11.4030886192051
"37","AIS C",16,"para",10,49.7777777777778,0.666666666666667
"38","AIS C",16,"tetra",113,33.7864077669903,11.7745575541844
"39","AIS C",26,"para",12,49.7272727272727,0.646669790682863
"40","AIS C",26,"tetra",121,36.7714285714286,11.1814210109528
"41","AIS C",52,"para",12,49.5,1.44599761096244
"42","AIS C",52,"tetra",110,38.6237623762376,11.0750634175598
"43","AIS D",0,"para",3,50,NA
"44","AIS D",0,"tetra",28,26.6666666666667,13.6381816969859
"45","AIS D",1,"para",3,42,7.21110255092798
"46","AIS D",1,"tetra",28,31.2692307692308,10.4290275378204
"47","AIS D",4,"para",3,48,3.46410161513775
"48","AIS D",4,"tetra",24,38.0833333333333,8.81163591714001
"49","AIS D",8,"para",3,49,1.73205080756888
"50","AIS D",8,"tetra",26,42.4615384615385,7.02128631651363
"51","AIS D",16,"para",3,49,1.73205080756888
"52","AIS D",16,"tetra",26,43.9090909090909,5.51974025362901
"53","AIS D",26,"para",3,49.3333333333333,1.15470053837925
"54","AIS D",26,"tetra",26,45.4230769230769,5.72135002895699
"55","AIS D",52,"para",3,49.3333333333333,1.15470053837925
"56","AIS D",52,"tetra",25,47.0434782608696,4.15033690713028
